id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
689;648;;28,6;631;1230;51328;1899;4093;1269;0;44;466;16;15;631;0;31,88
690;649;;18,25;1781;0;15774;177;808;2090;85;1;14;12;9;0;0;71,81
691;650;;18,69;1941;572;37803;193;934;3754;70;30;119;101;59;615;0;
692;651;;20,41;;;;;;;3;0;7;6;4;0;0;
693;652;;18,48;0;699;30373;12;0;5029;55;189;112;83;87;0;0;
694;653;;19,19;;;;;;;0;0;0;0;0;0;0;
695;654;;12,7;;;;;;;0;0;0;0;0;0;0;
696;655;;16,01;0;0;54549;99;0;5669;167;1;3;53;4;0;0;
697;656;;13,87;0;0;84027;6155;311;458;878;226;9;0;10;0;0;56,37
698;657;;21,55;;;;;;;0;0;0;0;0;0;0;
699;658;;33,09;;;;;;;0;0;0;0;0;0;0;
700;659;;24,78;0;0;48338;42;12;1484;16;99;766;140;7;727;0;42,30
701;660;;38,21;0;0;417;98111,5;271;1804;1;0;9;2;0;0;0;
702;661;;38,9;56;0;7293;220;63;59;4;13;16;47;45;192;0;
703;662;;39,8;;;;;;;0;0;0;0;0;0;0;
704;663;;47,73;0;198;2114;319;80;46;0;1;4;3;2;0;0;
705;664;;57,14;81;390;4322;139;218;0;2;2;11;31;8;55;0;
706;665;;53,95;502;600;5535;1419;333;1022;5;12;64;67;68;142;0;
707;666;;54,69;670;850;6320;3579;742;1340;4;6;24;47;85;119;0;
708;667;;44,85;514;467;21214;10145;929;7972;4;20;18;60;13;0;0;
709;668;;35,19;110;439;4779;5222;2752;8815;0;10;8;21;26;0;0;
710;669;;35,34;4275;3823;107667;4941;7915;1999;17;60;583;185;188;615;0;32,38
711;670;;44,79;0;0;0;2589,5;0;46194;4;15;53;43;56;8;0;
712;671;;48,42;0;0;1502;2033;0;118;1;3;13;8;8;0;0;
713;672;;45,21;;;;;;;1;0;0;1;0;0;0;
714;673;;47,21;7634;1522;73743;3311;3931;6739;52;172;141;502;530;1411;0;
715;674;;19,56;7659;14261;251810;9163;5389;2517;157;451;733;1665;1050;5064;0;
716;675;;29,33;10887;3509;95833;100277;9374;12488;0;44;120;99;255;522;0;
717;676;A;42,18;6524;11447;107714;72039;10902;25996;898;2573;3404;6772;5454;942;0;
718;676;B;42,18;81886;50797;946159;246408;56719;51661;932;2573;4258;7535;5915;14880;1527;31,66
719;676;C;42,18;1433;561;10915;804;743;103;898;2573;3404;6772;5454;1072;0;
720;677;;48,11;50086;55543;829948;248844;39086;77993;412;1263;1746;3957;4509;12139;0;20,08
721;678;;24,67;0;0;760;0;0;0;36;5;3;18;17;0;0;
722;679;;22,31;4727;15753;408412;77132;21038;52827;247;911;1581;3733;2553;6659;0;28,96
723;680;A;37,48;823;0;4772;128919;11051;83266;0;1;13;73;21;0;0;
724;680;B;26,855;1478;0;264;281763;34868;127591;0;1;13;73;21;0;0;
725;681;;16,23;763;2928;38563;225;398;3595;18;260;5;0;6;918;0;
726;682;;22,8;245;0;2625;0;0;4587;23;3;2;9;9;148;0;
727;683;;27,7;5260;3786;165516;1251;2726;3089;805;163;484;1275;953;2904;0;
728;684;;15,33;0;0;158169;0;0;80;0;72;821;1735;666;0;0;
729;685;;60,64;131965;70765;1431888;86309;63948;78198;1054;2730;3829;8160;9147;23739;7411;19,25
730;686;;32,17;61670;39996;1291142;96473;39103;69964;862;3351;5445;8361;5445;15053;0;28,49
731;687;;43,59;15805;11035;424386;31218;14099;13370;178;762;1211;3245;3594;4258;0;
732;688;;35,07;70566;41726;939744;90810;45867;70755;916;2798;3383;5260;4061;17742;0;24,72
733;689;;43,87;15044;8927;352811;32622;8857;9426;320;857;1474;2466;2698;3969;0;31,55
734;690;;59,11;38661;19535;369828;39845;34970;117214;235;769;811;1272;927;2483;0;
735;691;;40,81;22294;17516;349880;15080;13642;45482;0;0;0;0;193;5363;0;
736;692;;52,42;2670;4087;95963;2173;3528;663;0;0;0;0;0;1705;0;
737;693;;92,26;1516;5224;31346;428;4569;799;0;0;0;0;0;1211;0;
738;694;;76,8;521;1309;40831;356;2018;0;0;0;0;0;0;967;0;
739;695;;17,08;;;;;;;0;0;0;0;0;0;0;
740;696;;17,08;0;0;108;0;0;0;0;0;0;0;0;0;0;
