id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
290;276;;0,63;191618;6315;129471;58358;138421;9803;0;205;715;1037;34;0;3753;
291;277;;0,45;160167;23650;61695;38480;833328;38712;0;6;249;535;16;1316;1149;
292;278;;0,66;49296;16036;163877;10079;78555;3943;0;428;982;859;39;198;0;
293;279;;4,46;10259;8427;149185;98893;18934;11764;63;865;756;551;220;721;0;
294;280;;4,83;13884;7513;196415;191357;67099;29378;0;140;487;1321;243;1240;5116;40,90
295;281;;5,11;2020;7858;66473;69170;7408,5;34556;0;13;78;102;525;804;0;
296;282;;5,72;7540;4736;169761;71603;11284,5;2080;0;172;416;956;1116;1001;0;
297;283;;5,88;2195;24524;136921;132149;19282;5004;0;18;554;762;164;481;4832;
298;284;;6,46;7314;6461;137106;34679;10915;3966;0;21;339;1487;36;1190;0;
299;285;;7,14;16388;17890;273817;32690;10216;5020;183;690;1137;510;617;2485;0;
300;286;;7,39;8680;1390;177193;48065;18748;3872;77;225;1196;835;949;1458;17354;51,16
301;287;;7,91;6419;3375;63223;61415;5402;3126;0;4;292;1;467;0;0;
302;288;;8,28;8811;1890;99310;833;1817;355;0;371;773;136;154;0;0;
303;289;;8,53;13057;3019;142255;7369;2622;1212;0;361;584;267;169;824;0;
304;290;;5,83;11430;0;56700;61427;7278;561;0;3;312;2;287;0;0;
305;291;;6,54;6680;4383;76975;37529;5589;2072;0;12;179;922;20;674;0;
306;292;;8,48;4814;2606;62785;1674;1781;1395;0;627;403;89;18;59;0;
307;293;;9,11;2765;6889;123118;946;2193;1813;0;57;251;1124;238;377;0;
308;294;;9,27;3345;13197;123148;782;5511;15214;122;64;1085;939;506;393;0;
309;295;;10,32;18262;15059;204643;48856;16195;6763;0;236;1493;781;1212;1857;0;
310;296;;10;19760;4635;71744;109104;12224;9342;0;488;19;491;313;803;0;
311;297;;11,3;4699;7940;80885;2166;5232;1550;0;118;589;322;120;1570;0;
312;298;;11,81;5894;4622;85186;25113;8192;12325;51;491;21;467;575;1772;0;
313;299;;12,68;19420;32824;597900;17581;12692;4582;0;1403;2452;4317;2650;7846;0;18,70
314;300;;11,91;3302;2365;136285;756;2706;1037;0;149;626;947;832;933;0;
315;301;;15,53;5506;6716;153723;1584;4586;990;0;220;917;1053;1368;1300;0;
316;302;;15,63;4862;9597;135054;1471;4093;480;0;86;588;1293;1424;1808;0;
